SUID,AverageShortestPathLength,Betweenness,BetweennessCentrality,Closeness,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Eigenvector,Information,IsSingleNode,LAC,name,NeighborhoodConnectivity,Network,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,Subgragh,TopologicalCoefficient
170,2.71084337,798.3620742,0.01292852,0.085828343,0.36888889,0.35294118,17,6,0.046075903,4.041931629,FALSE,5.647058824,KAT2B,19.29411765,7.320454545,17,0,0,0.80990629,FALSE,0,KAT2B,7834,8.51E+07,0.18495475
287,2.562249,806.5365923,0.0130609,0.086897945,0.39028213,0.32352941,17,6,0.054006469,4.041931629,FALSE,5.176470588,EZH2,22.70588235,6.604274892,17,0,0,0.82641678,FALSE,0,EZH2,9024,1.17E+08,0.17466063
389,2.70281124,1017.811439,0.01648224,0.085885486,0.36998514,0.36764706,17,6,0.080418363,4.041931629,FALSE,5.882352941,PRKCB,24.11764706,6.850992063,17,0,0,0.81079875,FALSE,0,PRKCB,8760,2.59E+08,0.22857143
133,2.562249,1568.804955,0.02540493,0.086897945,0.39028213,0.275,16,5,0.061479907,3.989644766,FALSE,4.125,NOS3,22.5625,6.056043956,16,0,0,0.82641678,FALSE,0,NOS3,10688,1.52E+08,0.17626953
245,2.64257028,790.8612264,0.01280705,0.086316494,0.37841945,0.53333333,16,6,0.099025853,3.989644766,FALSE,8,KIT,33.0625,8.992857143,16,0,0,0.81749219,FALSE,0,KIT,7618,3.93E+08,0.28258547
519,2.57831325,332.0989361,0.00537795,0.086781029,0.38785047,0.475,16,6,0.095066279,3.989644766,FALSE,7.125,PGR,32.5,7.848251748,16,0,0,0.82463186,FALSE,0,PGR,4502,3.62E+08,0.25390625
691,2.63453815,209.7523728,0.00339669,0.086374289,0.37957317,0.58333333,16,6,0.101355508,3.989644766,FALSE,8.75,ERBB4,33.9375,9.361904762,16,0,0,0.81838465,FALSE,0,ERBB4,2240,4.12E+08,0.27766393
95,2.7188755,205.2736788,0.00332416,0.085771277,0.36779911,0.60952381,15,6,0.088770099,3.932409286,FALSE,8.533333333,PTPN1,30,9.53968254,15,0,0,0.80901383,FALSE,0,PTPN1,2128,3.16E+08,0.29061489
232,2.59437751,3185.932042,0.05159237,0.086664427,0.38544892,0.17142857,15,6,0.044633195,3.932409286,FALSE,2.4,F2,19.2,3.827813853,15,0,0,0.82284694,FALSE,0,F2,19608,7.99E+07,0.15702479
423,2.58232932,432.8859539,0.00701007,0.086751849,0.38724728,0.39047619,15,5,0.075522833,3.932409286,FALSE,5.466666667,ESR2,28.46666667,6.03030303,15,0,0,0.82418563,FALSE,0,ESR2,4898,2.29E+08,0.22486772
174,2.57028112,1721.285569,0.02787417,0.086839448,0.3890625,0.30769231,14,6,0.059506156,3.869498014,FALSE,4,NOS2,26.5,5.424125874,14,0,0,0.82552432,FALSE,0,NOS2,10746,1.42E+08,0.19924812
253,2.6184739,715.9003132,0.01159315,0.086490111,0.38190184,0.30769231,14,6,0.046445411,3.869498014,FALSE,4,PARP1,22.64285714,5.488461538,14,0,0,0.82016957,FALSE,0,PARP1,8114,8.65E+07,0.18869048
553,2.75903614,48.98017406,7.93E-04,0.085487078,0.36244541,0.68131868,14,6,0.094803773,3.869497538,FALSE,8.857142857,CSK,34.92857143,9.784615385,14,0,0,0.80455154,FALSE,0,CSK,834,3.60E+08,0.33911234
