SUID,AverageShortestPathLength,Betweenness,BetweennessCentrality,Closeness,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Eigenvector,Information,IsSingleNode,LAC,name,NeighborhoodConnectivity,Network,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,Subgragh,TopologicalCoefficient
114,2.47791165,63.19638759,0.06533368,0.56,0.40356564,0.17989418,28,5,0.056130074,8.2620821,FALSE,5.75,RXRA,14.82142857,8.243589744,28,0,0,0.83578759,FALSE,0,RXRA,24996,4.03E+07,0.10714286
270,2.47389558,38.64497157,0.03046061,0.578512397,0.40422078,0.26190476,28,6,0.11209771,8.892058372,FALSE,8.421052632,AR,23.75,9.630924631,28,0,0,0.83623382,FALSE,0,AR,20050,1.61E+08,0.16493056
442,2.44578313,52.29511777,0.0140534,0.598290598,0.408867,0.34126984,28,5,0.141409934,9.582094193,FALSE,10.17391304,STAT1,26.57142857,12.69845986,28,0,0,0.83935743,FALSE,0,STAT1,10268,2.56E+08,0.18051506
255,2.36546185,70.62409305,0.03148379,0.593220339,0.42275042,0.32478632,27,5,0.114944614,9.423128128,FALSE,9.454545455,HIF1A,25.11111111,13.18570289,27,0,0,0.84828202,FALSE,0,HIF1A,17208,1.69E+08,0.15311653
135,2.40160643,17.33120031,0.08620663,0.526315789,0.41638796,0.11396011,27,6,0.058708083,6.903490067,FALSE,4.181818182,ALB,15.37037037,4.833333333,27,0,0,0.84426595,FALSE,0,ALB,31658,4.41E+07,0.10498084
460,2.48192771,54.1416557,0.02242691,0.588235294,0.40291262,0.31054131,27,6,0.126825213,9.255619049,FALSE,9.619047619,NFKB1,25.18518519,11.5012061,27,0,0,0.83534137,FALSE,0,NFKB1,13192,2.06E+08,0.17612018
227,2.41767068,72.08513188,0.02415469,0.593220339,0.41362126,0.28205128,27,6,0.115688704,9.423128128,FALSE,7.818181818,CASP3,23.55555556,10.63500624,27,0,0,0.84248104,FALSE,0,CASP3,12536,1.71E+08,0.15703704
379,2.59036145,36.40227719,0.00927526,0.578512397,0.38604651,0.36333333,25,6,0.125926882,9.078856468,FALSE,9.6,MAP2K1,25.52,11.17414861,25,0,0,0.82329317,FALSE,0,MAP2K1,5482,2.03E+08,0.21057851
219,2.50200803,15.37239781,0.0441536,0.534351145,0.39967897,0.21,25,6,0.092403427,7.772599697,FALSE,6.857142857,TLR4,21.68,7.646153846,25,0,0,0.83311022,FALSE,0,TLR4,21058,1.09E+08,0.154
148,2.56626506,18.71780819,0.07218636,0.538461538,0.38967136,0.20289855,24,6,0.064804323,7.213725567,FALSE,5,HPGDS,17.375,5.571717172,24,0,0,0.82597055,FALSE,0,HPGDS,30816,5.37E+07,0.13541667
406,2.69879518,36.83630937,0.00340287,0.56,0.37053571,0.41666667,24,6,0.118356615,9.078856468,FALSE,9.7,PIK3CD,23.91666667,11.79308126,24,0,0,0.81124498,FALSE,0,PIK3CD,2438,1.79E+08,0.22562893
285,2.52610442,62.7760875,0.03856276,0.564516129,0.39586645,0.21376812,24,5,0.093025938,8.892058372,FALSE,5.684210526,PRKACA,20.33333333,7.297327672,24,0,0,0.83043284,FALSE,0,PRKACA,19062,1.11E+08,0.1578776
496,2.54618474,36.71636201,0.00533406,0.573770492,0.39274448,0.41991342,22,5,0.123679891,9.078856468,FALSE,8.9,KDR,28.59090909,10.60841308,22,0,0,0.8282017,FALSE,0,KDR,4162,1.96E+08,0.22163495
129,2.3935743,43.20235318,0.02493935,0.564516129,0.41778523,0.25541126,22,6,0.084134124,8.2620821,FALSE,6.125,PPARG,25.5,7.077797203,22,0,0,0.84515841,FALSE,0,PPARG,13718,9.06E+07,0.15740741
272,2.47791165,33.89605891,0.00780728,0.578512397,0.40356564,0.41125541,22,6,0.107079335,8.892058372,FALSE,9.368421053,NR3C1,28.54545455,10.9220474,22,0,0,0.83578759,FALSE,0,NR3C1,6060,1.47E+08,0.19418677
281,2.54618474,16.17778151,0.00484314,0.578512397,0.39274448,0.57142857,21,6,0.135293543,8.892058372,FALSE,11.78947368,IGF1R,33.14285714,12.72727273,21,0,0,0.8282017,FALSE,0,IGF1R,3800,2.34E+08,0.24733475
77,2.4939759,71.77540423,0.01149459,0.578512397,0.40096618,0.36190476,21,6,0.095588483,8.892058372,FALSE,7.263157895,MDM2,26.33333333,9.512909313,21,0,0,0.83400268,FALSE,0,MDM2,8952,1.17E+08,0.18414918
217,2.58634538,4.454229589,0.03833403,0.507246377,0.38664596,0.21428571,21,6,0.054290481,6.209193707,FALSE,5.111111111,MMP9,17.38095238,5.916666667,21,0,0,0.8237394,FALSE,0,MMP9,15708,3.77E+07,0.13504464
297,2.63052209,13.81448229,0.01452122,0.518518519,0.38015267,0.28947368,20,6,0.052170876,7.213725567,FALSE,6.166666667,HDAC2,18.25,6.955266955,20,0,0,0.81883088,FALSE,0,HDAC2,10768,3.48E+07,0.16008772
193,2.58232932,14.33949752,0.00404927,0.569105691,0.38724728,0.52631579,20,6,0.126076192,8.694339752,FALSE,10.66666667,IL2,32.1,11.70623886,20,0,0,0.82418563,FALSE,0,IL2,3756,2.03E+08,0.24318182
453,2.59839357,23.60840578,0.00173929,0.573770492,0.38485317,0.55789474,20,6,0.135113835,9.078856468,FALSE,10.6,PRKCD,33.35,11.9287613,20,0,0,0.82240071,FALSE,0,PRKCD,1730,2.34E+08,0.26259843
328,2.59437751,10.4358001,0.02019126,0.546875,0.38544892,0.26842105,20,6,0.079587474,7.213725567,FALSE,5.833333333,BCL2L1,23.4,6.465909091,20,0,0,0.82284694,FALSE,0,BCL2L1,11518,8.11E+07,0.19139344
97,2.65863454,27.40467823,0.00269252,0.573770492,0.37613293,0.5,20,6,0.120481372,8.892058372,FALSE,9.473684211,CDC42,29.95,10.75206183,20,0,0,0.81570727,FALSE,0,CDC42,2276,1.86E+08,0.24752066
72,2.63453815,57.48632135,0.00569793,0.56,0.37957317,0.35672515,19,6,0.089164004,8.025180817,FALSE,6.4,ABL1,26.47368421,7.565184815,19,0,0,0.81838465,FALSE,0,ABL1,4612,1.02E+08,0.2152332
81,2.56626506,24.85912776,0.03684297,0.538461538,0.38967136,0.32163743,19,6,0.062770434,7.213725567,FALSE,5.833333333,CDK2,21.63157895,7,19,0,0,0.82597055,FALSE,0,CDK2,18198,5.04E+07,0.17444822
368,2.81927711,8.242933373,0.0042819,0.510948905,0.35470085,0.46405229,18,6,0.087825716,7.772599697,FALSE,8.428571429,BTK,24.44444444,9.469405594,18,0,0,0.7978581,FALSE,0,BTK,2782,9.87E+07,0.25462963
393,2.69879518,22.09769784,0.00334597,0.551181102,0.37053571,0.46405229,18,6,0.096777923,8.2620821,FALSE,7.75,ZAP70,27,9.144522145,18,0,0,0.81124498,FALSE,0,ZAP70,2180,1.20E+08,0.23684211
402,2.68674699,11.88632986,0.00175184,0.551181102,0.37219731,0.55555556,18,6,0.104127824,8.2620821,FALSE,9.75,SYK,28.88888889,10.98269231,18,0,0,0.81258367,FALSE,0,SYK,1640,1.39E+08,0.26026026
449,2.65060241,8.381514267,5.78E-04,0.56,0.37727273,0.67973856,18,6,0.126875401,8.484718323,FALSE,11.41176471,MET,35.33333333,12.38068182,18,0,0,0.81659973,FALSE,0,MET,730,2.06E+08,0.29201102
75,2.66666667,23.74051286,0.00855024,0.542635659,0.375,0.36601307,18,6,0.051461235,7.772599697,FALSE,6.571428571,RARA,19.38888889,8.230769231,18,0,0,0.81481481,FALSE,0,RARA,4438,3.39E+07,0.16959064
389,2.70281124,5.803221846,0.01648224,0.526315789,0.36998514,0.36764706,17,6,0.081191704,7.21372509,FALSE,7.5,PRKCB,24.11764706,8.245454545,17,0,0,0.81079875,FALSE,0,PRKCB,8760,8.44E+07,0.22857143
287,2.562249,41.25231308,0.0130609,0.538461538,0.39028213,0.32352941,17,6,0.05507816,7.772599697,FALSE,4.714285714,EZH2,22.70588235,5.880536131,17,0,0,0.82641678,FALSE,0,EZH2,9024,3.88E+07,0.17466063
170,2.71084337,19.78001192,0.01292852,0.503597122,0.36888889,0.35294118,17,6,0.047014587,7.502728939,FALSE,6.307692308,KAT2B,19.29411765,7.351010101,17,0,0,0.80990629,FALSE,0,KAT2B,7834,2.83E+07,0.18495475
245,2.64257028,3.309229387,0.01280705,0.53030303,0.37841945,0.53333333,16,6,0.102106616,7.502728939,FALSE,8.769230769,KIT,33.0625,9.5,16,0,0,0.81749219,FALSE,0,KIT,7618,1.33E+08,0.28258547
133,2.562249,8.774831382,0.02540493,0.52238806,0.39028213,0.275,16,5,0.063591182,6.903490067,FALSE,5.090909091,NOS3,22.5625,5.633333333,16,0,0,0.82641678,FALSE,0,NOS3,10688,5.17E+07,0.17626953
519,2.57831325,16.27800482,0.00537795,0.56,0.38785047,0.475,16,6,0.10189645,8.025180817,FALSE,7.466666667,PGR,32.5,8.251731602,16,0,0,0.82463186,FALSE,0,PGR,4502,1.33E+08,0.25390625
691,2.63453815,9.218731931,0.00339669,0.56,0.37957317,0.58333333,16,6,0.1082104,8.025180817,FALSE,9.333333333,ERBB4,33.9375,10.19480519,16,0,0,0.81838465,FALSE,0,ERBB4,2240,1.50E+08,0.27766393
423,2.58232932,7.777205781,0.00701007,0.542635659,0.38724728,0.39047619,15,5,0.079586305,7.213725567,FALSE,6.666666667,ESR2,28.46666667,7.345454545,15,0,0,0.82418563,FALSE,0,ESR2,4898,8.10E+07,0.22486772
95,2.7188755,3.045887707,0.00332416,0.52238806,0.36779911,0.60952381,15,6,0.08876168,7.213725567,FALSE,9,PTPN1,30,9.818181818,15,0,0,0.80901383,FALSE,0,PTPN1,2128,1.01E+08,0.29061489
232,2.59437751,6.107466984,0.05159237,0.507246377,0.38544892,0.17142857,15,6,0.044810001,5.395279408,FALSE,3.428571429,F2,19.2,4,15,0,0,0.82284694,FALSE,0,F2,19608,2.57E+07,0.15702479
253,2.6184739,2.953423695,0.01159315,0.514705882,0.38190184,0.30769231,14,6,0.046672933,5.819044113,FALSE,4.75,PARP1,22.64285714,5.428571429,14,0,0,0.82016957,FALSE,0,PARP1,8114,2.79E+07,0.18869048
553,2.75903614,3.554110113,7.93E-04,0.542635659,0.36244541,0.68131868,14,6,0.10021285,7.502728939,FALSE,9.230769231,CSK,34.92857143,10,14,0,0,0.80455154,FALSE,0,CSK,834,1.29E+08,0.33911234
